entry_datetime,entry_price,islong
20100427 10:45:00,3153.200000,False
20100505 13:45:00,3082.600000,True
20100506 13:30:00,3043.400000,False
20100511 13:15:00,2914.200000,False
20100517 10:15:00,2803,False
20100521 13:45:00,2792.800000,True
20100527 13:00:00,2867.400000,True
20100609 14:00:00,2759.800000,True
20100621 13:00:00,2798.200000,True
20100623 13:00:00,2773.600000,False
20100629 11:15:00,2699.400000,False
20100701 14:00:00,2558.200000,False
20100706 13:00:00,2590.800000,True
20100709 13:00:00,2639.600000,True
20100714 10:45:00,2688,True
20100714 14:00:00,2654.200000,False
20100715 11:15:00,2662.800000,False
20100719 13:00:00,2645,True
20100722 10:00:00,2774.200000,True
20100722 13:15:00,2771.800000,True
20100728 11:00:00,2823.600000,True
20100802 11:00:00,2925.400000,True
20100806 13:45:00,2908,True
20100810 13:00:00,2860.400000,False
20100816 13:00:00,2912.600000,True
20100818 13:45:00,2951.800000,False
20100819 13:30:00,3002.400000,True
20100824 11:15:00,2924.200000,True
20100830 10:30:00,2921.400000,True
20100901 10:30:00,2950.400000,True
20100909 10:00:00,2985,False
20100913 13:15:00,2986.200000,True
20100916 13:30:00,2875,False
20100920 11:00:00,2868.800000,False
20100927 13:15:00,2911,True
20100929 10:30:00,2917,True
20100930 10:15:00,2912,True
20101015 10:45:00,3282.800000,True
20101020 13:15:00,3508.800000,True
20101025 11:15:00,3542.200000,True
20101029 09:30:00,3506.800000,True
20101029 10:30:00,3501.800000,True
20101110 13:00:00,3531.600000,False
20101111 11:15:00,3619.200000,True
20101112 13:00:00,3446.400000,False
20101116 13:30:00,3284.800000,False
20101119 11:15:00,3149.600000,False
20101123 11:00:00,3111.800000,False
20101130 11:00:00,3144.400000,False
20101207 13:00:00,3196.800000,True
20101215 10:45:00,3292.800000,False
20101220 10:30:00,3290.800000,False
20101227 13:45:00,3220,False
20101230 11:00:00,3076.800000,False
20101230 13:00:00,3102.200000,True
20110106 10:00:00,3214,False
20110107 13:00:00,3240.800000,True
20110112 13:30:00,3141,False
20110114 13:30:00,3110.200000,False
20110117 11:15:00,3050.400000,False
20110119 11:15:00,3034.200000,True
20110127 10:45:00,3015.800000,True
20110131 11:15:00,3091.600000,True
20110209 10:15:00,3102,True
20110214 09:45:00,3164.800000,True
20110222 10:45:00,3223,False
20110224 10:15:00,3212.400000,True
20110225 13:00:00,3238.800000,True
20110302 10:45:00,3230,False
20110310 13:30:00,3310.200000,False
20110315 10:15:00,3214.800000,False
20110321 09:45:00,3250.200000,False
20110325 10:15:00,3300,True
20110331 13:15:00,3231.800000,False
20110406 13:15:00,3324,True
20110408 13:00:00,3350.200000,True
20110415 10:45:00,3353.600000,False
20110425 10:00:00,3266,False
20110503 13:30:00,3213.200000,True
20110504 13:30:00,3169.400000,False
20110506 11:15:00,3124.200000,True
20110511 13:00:00,3168.800000,True
20110517 13:00:00,3139.200000,True
20110523 10:00:00,3106.600000,False
20110525 09:30:00,3011.600000,False
20110525 09:45:00,3024.600000,True
20110531 14:00:00,2997.600000,True
20110602 10:30:00,2973.200000,False
20110623 13:00:00,2922.800000,True
20110630 10:30:00,3066,True
20110704 10:15:00,3106.400000,True
20110706 09:45:00,3109.600000,False
20110713 13:00:00,3108.200000,True
20110715 10:45:00,3142,True
20110720 11:15:00,3107,False
20110725 11:00:00,3036.600000,False
20110727 09:30:00,2962.600000,False
20110727 10:00:00,2977.200000,True
20110729 10:45:00,2972.200000,False
20110729 13:45:00,2969,False
20110802 10:15:00,2941,False
20110805 10:15:00,2914.200000,True
20110808 11:00:00,2820.400000,False
20110811 10:30:00,2842.600000,True
20110815 13:45:00,2902.400000,True
20110818 14:00:00,2865.800000,False
20110822 13:00:00,2786.200000,False
20110825 13:00:00,2870.800000,True
20110830 13:45:00,2876.200000,False
20110901 13:00:00,2837.800000,False
20110907 13:15:00,2767.400000,True
20110909 11:15:00,2765,False
20110914 13:00:00,2697.400000,False
20110921 11:00:00,2725.200000,True
20110928 14:00:00,2611.600000,False
20111011 10:45:00,2606.800000,False
20111017 13:45:00,2657.600000,False
20111020 11:15:00,2520.200000,False
20111024 13:15:00,2551.800000,True
20111028 09:45:00,2728.800000,True
20111101 10:00:00,2714.200000,True
20111101 13:00:00,2700.600000,False
20111109 11:15:00,2719.800000,False
20111114 10:45:00,2755.200000,True
20111116 10:15:00,2728.800000,False
20111118 11:15:00,2632.400000,False
20111122 13:00:00,2592.400000,False
20111122 13:45:00,2619,True
20111130 11:00:00,2563.400000,False
20111205 10:00:00,2538,False
20111213 13:15:00,2461.200000,False
20111215 10:30:00,2378.600000,False
20111215 13:15:00,2378.600000,False
20120104 11:15:00,2351,False
20120109 10:30:00,2315.800000,True
20120112 10:45:00,2447.600000,False
20120113 11:00:00,2421.600000,False
20120117 13:30:00,2420.800000,True
20120201 11:15:00,2467.200000,False
20120207 11:00:00,2463,False
20120208 14:00:00,2528,True
20120210 10:45:00,2566,True
20120213 13:30:00,2566.200000,True
20120215 11:00:00,2556.400000,True
20120224 13:30:00,2633.800000,True
20120302 10:15:00,2674.400000,True
20120306 10:45:00,2637.200000,False
20120308 11:15:00,2650.200000,True
20120313 14:00:00,2683.400000,True
20120316 13:15:00,2594.600000,False
20120320 11:00:00,2607.600000,False
20120328 11:00:00,2540.400000,False
20120405 10:15:00,2471.200000,True
20120409 10:45:00,2524.200000,True
20120410 13:00:00,2471.800000,False
20120418 13:00:00,2601.200000,True
20120420 13:00:00,2628.600000,True
20120424 10:15:00,2653.400000,True
20120502 11:15:00,2673.600000,True
20120504 09:45:00,2711.200000,True
20120508 10:00:00,2709.600000,False
20120511 10:45:00,2673.400000,True
20120514 13:30:00,2652,True
20120516 13:15:00,2587,False
20120523 13:00:00,2586.800000,False
20120528 13:15:00,2578.600000,True
20120529 13:45:00,2653.200000,True
20120531 11:15:00,2635,True
20120601 14:00:00,2627,False
20120606 13:00:00,2549.800000,False
20120611 13:45:00,2557.800000,True
20120613 13:00:00,2565.200000,True
20120615 13:30:00,2537.600000,False
20120621 10:15:00,2523.800000,False
20120629 13:15:00,2467.600000,True
20120703 10:30:00,2494.600000,True
20120705 10:00:00,2447.600000,False
20120711 14:00:00,2433.400000,True
20120712 13:30:00,2450.200000,True
20120716 10:30:00,2435.400000,False
20120718 13:30:00,2402.800000,False
20120730 13:45:00,2374.800000,False
20120801 10:30:00,2378.400000,True
20120802 13:15:00,2347.600000,False
20120808 10:15:00,2411.800000,True
20120808 11:15:00,2400,False
20120809 13:15:00,2412.800000,True
20120813 10:00:00,2398.400000,False
20120817 13:00:00,2328.400000,False
20120820 10:00:00,2302.600000,False
20120827 10:00:00,2277.800000,False
20120830 13:30:00,2215,False
20120903 10:00:00,2226.800000,True
20120906 11:15:00,2211.400000,False
20120907 10:45:00,2300.600000,True
20120911 10:15:00,2312.800000,False
20120912 13:00:00,2316.400000,False
20120914 10:15:00,2323.600000,False
20120920 10:45:00,2234.800000,False
20120924 13:00:00,2237.200000,True
20120924 14:00:00,2227.600000,True
20120926 13:15:00,2205.400000,False
20121009 10:30:00,2342.200000,True
20121009 11:15:00,2345.400000,True
20121012 11:00:00,2317.600000,False
20121022 13:30:00,2349.800000,True
20121025 14:00:00,2315.400000,False
20121101 10:15:00,2295.800000,True
20121105 10:30:00,2305.600000,False
20121106 10:30:00,2275.800000,False
20121112 13:30:00,2243.200000,False
20121113 10:00:00,2229.600000,False
20121115 10:45:00,2224,True
20121115 13:00:00,2215.800000,False
20121121 11:15:00,2171,False
20121121 14:00:00,2185.800000,True
20121123 10:15:00,2209,True
20121207 10:30:00,2238.200000,True
20121212 11:00:00,2265,False
20121214 10:00:00,2292.400000,True
20121225 10:30:00,2419,True
20121227 09:30:00,2487,True
20130104 11:15:00,2512.800000,False
20130108 10:15:00,2518.400000,False
20130108 13:00:00,2551.400000,True
20130114 13:00:00,2567.400000,True
20130118 13:30:00,2621.600000,True
20130124 10:15:00,2658.200000,True
20130124 11:15:00,2626.400000,False
20130201 11:15:00,2714.800000,True
20130205 13:15:00,2786.800000,True
20130207 10:00:00,2779.400000,False
20130221 09:30:00,2676,False
20130225 09:30:00,2628.600000,True
20130225 10:45:00,2625.600000,True
20130228 13:30:00,2677.200000,True
20130304 13:00:00,2587.200000,False
20130311 09:45:00,2585.800000,False
20130311 10:45:00,2619.600000,True
20130312 13:00:00,2575.400000,False
20130315 11:15:00,2578,True
20130320 10:45:00,2578.200000,True
20130325 10:30:00,2612.600000,False
20130326 10:45:00,2557,False
20130326 13:30:00,2569.800000,False
20130328 11:00:00,2508.600000,False
20130402 11:15:00,2471.200000,False
20130402 14:00:00,2488.400000,False
20130411 10:45:00,2482.600000,False
20130415 10:45:00,2432.200000,False
20130418 10:15:00,2463,True
20130418 11:00:00,2443,False
20130419 13:15:00,2520,True
20130423 09:45:00,2504.800000,False
20130503 10:00:00,2481.400000,True
20130514 11:15:00,2478.400000,False
20130523 13:00:00,2612.200000,True
20130528 14:00:00,2604.200000,True
20130604 11:15:00,2567.400000,False
20130607 13:00:00,2506,False
20130613 10:45:00,2379.600000,False
20130617 09:45:00,2397.800000,False
20130619 10:30:00,2360.600000,False
20130624 10:15:00,2228.800000,False
20130627 13:30:00,2122.400000,False
20130628 14:00:00,2132.200000,False
20130704 13:30:00,2171,True
20130708 10:30:00,2139.800000,True
20130710 09:45:00,2137.800000,True
20130711 13:15:00,2295.800000,True
20130723 10:00:00,2235.400000,True
20130730 11:00:00,2189.600000,True
20130809 13:00:00,2244.200000,False
20130814 10:00:00,2386.400000,True
20130814 10:30:00,2368.800000,False
20130823 13:30:00,2273.600000,False
20130828 10:00:00,2304,False
20130905 10:00:00,2337.400000,False
20130905 13:30:00,2336.200000,False
20130906 13:45:00,2353,True
20130912 13:15:00,2512.400000,True
20130916 10:45:00,2480.200000,False
20130923 10:00:00,2467.800000,True
20130926 11:15:00,2393.600000,False
20130930 09:45:00,2423.800000,True
